,job opening,share a job opening,share job
job opening,0.0,0.3519961354946365,0.6474001686328739
share a job opening,0.3519961354946365,0.0,0.26710495929130573
share job,0.6474001686328739,0.26710495929130573,1.1102230246251565e-16
