,favourite list,show favorite,who are my favourites
favourite list,0.0,0.4299110628619536,0.47664807526495623
show favorite,0.4299110628619536,0.0,0.5668745092935655
who are my favourites,0.47664807526495623,0.5668745092935655,0.0
