,check talent profile,see talent profile,view talent profile
check talent profile,0.0,0.07505531441710056,0.18170483798684323
see talent profile,0.07505531441710056,0.0,0.08437201644796966
view talent profile,0.18170483798684323,0.08437201644796966,0.0
