,Leave encashment,encashment details,encashment leave,encashment leave type,leave encashment,show encashment leaves,view encashment details,view encashment leave details
Leave encashment,0.0,0.30465471039441716,0.18036863015916005,0.23704648669138217,0.0,0.46722236339840484,0.4593686404739543,0.3398920636659637
encashment details,0.30465471039441716,0.0,0.43167097045548286,0.4452769001729423,0.30465471039441716,0.3983094473456954,0.16984611114041204,0.4102722449440901
encashment leave,0.18036863015916005,0.43167097045548286,0.0,0.10937309929203143,0.18036863015916005,0.5493061062030204,0.5723165492497841,0.29134449033164767
encashment leave type,0.23704648669138217,0.4452769001729423,0.10937309929203143,0.0,0.23704648669138217,0.5590934882406176,0.5847763978476483,0.31660057207334147
leave encashment,0.0,0.30465471039441716,0.18036863015916005,0.23704648669138217,0.0,0.46722236339840484,0.4593686404739543,0.3398920636659637
show encashment leaves,0.46722236339840484,0.3983094473456954,0.5493061062030204,0.5590934882406176,0.46722236339840484,0.0,0.33545175335500976,0.42276751742941876
view encashment details,0.4593686404739543,0.16984611114041204,0.5723165492497841,0.5847763978476483,0.4593686404739543,0.33545175335500976,2.220446049250313e-16,0.2618313138296319
view encashment leave details,0.3398920636659637,0.4102722449440901,0.29134449033164767,0.31660057207334147,0.3398920636659637,0.42276751742941876,0.2618313138296319,0.0
